id,title,category,subcategory,short_pitch,merchant,product_url,list_or_typical_price,current_price,discount_basis,is_verified_discount,currency,ceiling_bucket,restrictions_notes,last_checked_date,suggested_affiliate_network,image_notes,image_url,image_alt,image_source,status
packit-freezable-lunch-bag-gray-fog-target,Packit Freezable Lunch Bag (Gray Fog),everyday,food-storage,Freezable lunch bag that replaces ice packs for commute lunches—freeze flat overnight.,Target,https://www.target.com/p/packit-freezable-lunch-bag-gray-fog/-/A-92447652,26.99,20.99,sale vs list on merchant page (Target: $20.99 from $26.99 per indexed listing),true,,under_25,Must freeze before use; not a powered cooler. Colorways/prices vary (e.g. Almond listed differently). Re-confirm sale.,,impact,Target PDP of Packit Gray Fog freezable lunch bag A-92447652.,https://target.scene7.com/is/image/Target/GUEST_5e13cbfb-988f-490c-b5f4-acbeb90bd8e3?wid=600&hei=600&qlt=85,Packit Freezable Lunch Bag (Gray Fog),target,
contigo-autoseal-chill-24oz-walmart,"Contigo AUTOSEAL Chill Stainless Steel Water Bottle, 24 oz",everyday,drinkware,Insulated bottle with AUTOSEAL lid to reduce spills in bags—good daily carry under $30 when in stock.,Walmart,https://www.walmart.com/ip/Contigo-Cortland-Chill-24-oz-Silver-and-Blue-Solid-Print-Stainless-Steel-Water-Bottle-with-Flip-Top-Lid/171650595,,27.09,price check only — no verified discount,false,,under_50,Stock and colorways fluctuate; listing may show OOS. Hand-wash lid components as directed.,,impact,Walmart Contigo Chill 24 oz product image; confirm exact color SKU.,,,,
hydro-flask-24oz-standard-mouth-target,Hydro Flask 24 oz Standard Mouth Bottle,everyday,drinkware,Insulated daily bottle with wide brand ecosystem of lids—buy when Target price beats brand site.,Target,https://www.target.com/p/hydro-flask-24oz-standard-mouth-bottle/-/A-93349791,39.95,33.99,price check — Target ~$33.99 vs Hydro Flask brand site $39.95; not a labeled Target sale verified this pass,false,,under_50,Target capacity/color may sell out. Brand MSRP from hydroflask.com. Not dishwasher-safe for all parts.,,impact,Target/Hydro Flask 24oz Standard Mouth product photo.,,,,
swiffer-wetjet-starter-kit-target,Swiffer WetJet Floor Mop Starter Kit,everyday,cleaning,Spray mop kit for hard floors when you want disposable pads more than a traditional mop bucket.,Target,https://www.target.com/p/swiffer-wetjet-floor-mop-starter-kit-1-spray-mop-5-mopping-pads-1-floor-cleaner-liquid-solution/-/A-18813263,,,price check only — no verified discount (live price not captured in research pass),false,,under_50,Ongoing pad/solution cost can exceed mop price—factor refill spend. Re-check Target price.,,impact,Target PDP of WetJet starter kit box.,https://target.scene7.com/is/image/Target/GUEST_b1bb0f88-fe80-4758-98d8-47018a7a3883?wid=600&hei=600&qlt=85,Swiffer WetJet Floor Mop Starter Kit,target,
anker-hdmi-usb-c-cable-6ft-target,"Anker USB-C to HDMI Cable, 6 ft (4K@60Hz)",everyday,cables-chargers,USB-C to HDMI for laptops/phones that support DisplayPort Alt Mode—verify device compatibility first.,Target,https://www.target.com/p/anker-hdmi-cable-4k-60hz-ultra-fast-usb-c-to-hdmi-cord-6ft/-/A-1013278314,,19.99,price check only — no verified discount,false,,under_25,Not all USB-C ports output video. Thunderbolt/DP Alt Mode required on host.,,impact,Target PDP of Anker USB-C to HDMI 6ft cable.,https://target.scene7.com/is/image/Target/GUEST_0ef131e3-080d-4ed9-aace-87d523f4720e?wid=600&hei=600&qlt=85,"Anker USB-C to HDMI Cable, 6 ft (4K@60Hz)",target,
up-and-up-aa-batteries-48pk-target,"up&up AA Alkaline Batteries, 48-Pack",everyday,batteries,Target house-brand bulk AAs—compare per-cell price against Amazon Basics before buying.,Target,https://www.target.com/p/aa-batteries-48pk-alkaline-battery-up-38-up-8482/-/A-53692445,,29.99,price check only — no verified discount (often higher per cell than Amazon Basics),false,,under_50,Editorial note: may not be the value pick vs Amazon Basics—include for merchant diversity / pickup convenience.,,impact,Target up&up AA 48pk packaging.,https://target.scene7.com/is/image/Target/GUEST_1c269506-14e8-4560-be22-5d72cdbedf37?wid=600&hei=600&qlt=85,"up&up AA Alkaline Batteries, 48-Pack",target,
command-large-hooks-variety-pending,Command Large Utility Hooks (multipack — confirm SKU),everyday,organization,Damage-free hanging hooks for renters—match weight rating to the object.,Amazon,https://www.amazon.com/s?k=Command+Large+Utility+Hooks,,,price check only — no verified discount (SKU/price not locked this pass),false,,under_25,Surface prep matters; follow weight limits. Lock exact ASIN and price before publish.,,amazon,Command brand pack image once ASIN chosen.,,,,
scotch-magic-tape-multipack-pending,Scotch Magic Tape Multipack (confirm count),everyday,office-home,Invisible tape for wrapping and paperwork—buy multipacks when cost-per-roll is clear.,Target,https://www.target.com/s/scotch+magic+tape,,,price check only — no verified discount,false,,under_25,Lock specific pack size and current price before publish. Prefer warehouse club if shipping free.,,impact,Scotch Magic Tape multipack product photo.,,,,
cabeau-evolution-classic-travel-pillow-target,Cabeau Evolution Classic Memory Foam Travel Neck Pillow,travel,comfort,Adjustable clasp memory-foam neck pillow for upright sleepers on planes and trains.,Target,https://www.target.com/p/cabeau-evolution-classic-memory-foam-travel-neck-pillow-adjustable-one-size-midnight-black/-/A-89140405,,29.99,price check only — no verified discount (also ~$29.99 on Amazon/brand),false,,under_50,One-size; fit varies. Colorways Midnigh Black / Navy. Not a compression packing item.,,impact,Target PDP Cabeau Evolution Classic midnight black.,https://target.scene7.com/is/image/Target/GUEST_cd330f4e-53bc-4690-b876-876d29c7533a?wid=600&hei=600&qlt=85,Cabeau Evolution Classic Memory Foam Travel Neck Pillow,target,
eagle-creek-pack-it-original-set-xs-s-m-amazon,Eagle Creek Pack-It Original Packing Cubes Set (XS/S/M),travel,packing,Three packing cubes to separate outfits and laundry—reduces suitcase digging.,Amazon,https://www.amazon.com/dp/B07CTG8BZ7,,35.0,price check only — no verified discount,false,,under_50,Confirm color (e.g. Blue Sea) and exact set sizes. Prices move with colorway.,,amazon,Amazon PDP Eagle Creek Pack-It Original XS/S/M set.,https://m.media-amazon.com/images/I/91GDZ7znicL._AC_SL500_.jpg,Eagle Creek Pack-It Original Packing Cubes Set (XS/S/M),amazon,
amazon-basics-packing-cubes-4pc,Amazon Basics 4-Piece Packing Cubes Set,travel,packing,Budget packing cubes for organizing a carry-on without paying premium travel-brand prices.,Amazon,https://www.amazon.com/dp/B014VBICGC,,,price check only — no verified discount (live price not reliably confirmed this pass),false,,under_50,Multiple Amazon Basics cube SKUs exist (4pc vs 8pc). Lock ASIN and price before publish.,,amazon,Amazon Basics grey packing cubes set image for chosen ASIN.,https://m.media-amazon.com/images/I/71GCQqyqpRL._AC_SL500_.jpg,Amazon Basics 4-Piece Packing Cubes Set,amazon,
samsonite-luggage-tag-set-amazon,Samsonite Luggage Tag (confirm set size),travel,luggage-accessories,Simple ID tags so bags are identifiable at the carousel—use a privacy flap for address details.,Amazon,https://www.amazon.com/dp/B07QV7M9KY,,13.75,price check only — no verified discount,false,,under_25,Confirm whether listing is single or multi-pack. Avoid posting home address openly on tags.,,amazon,Samsonite luggage tag product photo ASIN B07QV7M9KY.,https://m.media-amazon.com/images/I/61rUF4lFZPL._AC_SL500_.jpg,Samsonite Luggage Tag (confirm set size),amazon,
travelon-rfid-anti-theft-mini-shoulder-target,Travelon RFID Anti-Theft Mini Shoulder Bag,travel,bags,Small anti-theft day bag with RFID-blocking pocket for passports and cards in crowded cities.,Target,https://www.target.com/p/travelon-rfid-anti-theft-mini-shoulder-bag-black/-/A-54541018,,41.99,price check only — no verified discount,false,,under_50,RFID blocking is not theft-proof. Larger Travelon crossbodies often exceed $50—stick to this mini SKU for ceiling.,,impact,Target PDP Travelon RFID mini shoulder bag black.,https://target.scene7.com/is/image/Target/GUEST_5e56d523-cc89-42cb-9867-fd974b02445a?wid=600&hei=600&qlt=85,Travelon RFID Anti-Theft Mini Shoulder Bag,target,
travelon-self-laminating-luggage-tags-3pk-amazon,Travelon Set of 3 Self-Laminating Luggage Tags,travel,luggage-accessories,Write-on laminated tags for multiple bags—cheap redundancy if a tag falls off.,Amazon,https://www.amazon.com/dp/B078M2Q7XW,,5.75,price check only — no verified discount,false,,under_25,"Confirm pack of 3. Privacy: use email/phone, not full home address.",,amazon,Travelon clear self-laminating tags pack photo.,https://m.media-amazon.com/images/I/516JptlZlpL._AC_SL500_.jpg,Travelon Set of 3 Self-Laminating Luggage Tags,amazon,
tsa-clear-quart-toiletry-bag-amazon,TSA-Approved Clear Quart Toiletry Bag (3-1-1 kit),travel,toiletries,Clear quart bag for liquids so security screening stays predictable—match airline 3-1-1 rules.,Amazon,https://www.amazon.com/s?k=TSA+approved+clear+quart+toiletry+bag,,,price check only — no verified discount (generic category; lock brand/ASIN),false,,under_25,Many no-name listings. Prefer known brand with zip integrity reviews. Liquids still must be ≤3.4 oz each.,,amazon,Clear zippered quart bag product photo once ASIN locked.,,,,
nalgene-32oz-wide-mouth-amazon,Nalgene 32 oz Wide Mouth Bottle (Tritan),travel,drinkware,Durable wide-mouth bottle for hiking days and hotel refills—measure markings help tracking intake.,Amazon,https://www.amazon.com/s?k=Nalgene+32+oz+Wide+Mouth,,,price check only — no verified discount (live price not confirmed this pass),false,,under_25,Not insulated. Lock color/ASIN and price. BPA-free Tritan versions preferred.,,amazon,Nalgene 32oz wide mouth bottle product photo.,,,,
packit-freezable-lunch-bag-travel-note,Packit Freezable Lunch Bag (travel day-trip use),travel,food,Same freezable bag works for flights with food and road-trip snacks when ice packs are annoying.,Target,https://www.target.com/p/packit-freezable-lunch-bag-gray-fog/-/A-92447652,26.99,20.99,sale vs list on merchant page (Target indexed sale); cross-listed under Travel for day-trip use,true,,under_25,DUPLICATE SKU intentional for travel module—CMS should dedupe by merchant SKU if needed. Freeze overnight. Airline liquid rules still apply to drinks inside.,,impact,Same as everyday Packit listing — reuse asset.,https://target.scene7.com/is/image/Target/GUEST_5e13cbfb-988f-490c-b5f4-acbeb90bd8e3?wid=600&hei=600&qlt=85,Packit Freezable Lunch Bag (travel day-trip use),target,
anker-powercore-10000-travel-slice,Anker PowerCore 10000 (travel carry),travel,power,"Pocket power bank for terminals and long connections—keep in carry-on, not checked bags.",Amazon,https://www.amazon.com/Anker-PowerCore-Ultra-Compact-High-Speed-Technology/dp/B0194WDVHI,,25.99,price check only — no verified discount,false,,under_50,Cross-category with Everyday. Lithium batteries: carry-on only. Confirm airline watt-hour rules.,,amazon,Same Anker PowerCore 10000 asset as everyday listing.,,,,
klein-3pc-adjustable-wrench-set-amazon,Klein Tools 3-Piece Adjustable Wrench Set,home,hand-tools,Three adjustable wrenches covering common nut sizes for plumbing and assembly.,Amazon,https://www.amazon.com/s?k=Klein+Tools+3-Piece+Adjustable+Wrench+Set,39.98,32.98,"secondary deal report citing merchant was/now (Bob Vila Amazon, 2026-09-15) — re-verify on PDP",false,,under_50,Confirm set contents and ASIN. Prices change often.,,amazon,Klein adjustable wrench set product image.,,,,
klein-flickblade-utility-knife-amazon,Klein Tools FLICKBLADE Folding Utility Knife/Scraper,home,hand-tools,Folding utility knife for boxes and scraping—safer to store than a fixed open blade.,Amazon,https://www.amazon.com/s?k=Klein+Tools+FLICKBLADE,20.98,17.98,"secondary deal report citing merchant was/now (Bob Vila Amazon, 2026-09-15) — re-verify on PDP",false,,under_25,Blades are sharp; lock closed when not in use. Confirm ASIN.,,amazon,Klein FLICKBLADE product photo.,,,,
irwin-vise-grip-11in-locking-c-clamp-amazon,"IRWIN VISE-GRIP Original 11"" Locking C-Clamp",home,hand-tools,Locking C-clamp for glue-ups and temporary holds when you lack bar clamps.,Amazon,https://www.amazon.com/s?k=IRWIN+VISE-GRIP+11+Locking+C-Clamp,45.09,25.39,"secondary deal report citing merchant was/now (Bob Vila Amazon, 2026-09-15) — re-verify on PDP",false,,under_50,"Can mark soft wood—use pads. Confirm size 11"".",,amazon,IRWIN locking C-clamp product image.,,,,
oxo-good-grips-swivel-peeler-amazon,OXO Good Grips Swivel Peeler,home,kitchen-tools,Award-winning soft-grip peeler with built-in eye remover—daily-prep essential under $15.,Amazon,https://www.amazon.com/dp/B000I1ZVPA,,11.99,price check only — no verified discount,false,,under_25,Dishwasher safe per listing. Distinct from Target Softworks peeler SKU.,,amazon,Amazon OXO Good Grips swivel peeler ASIN B000I1ZVPA.,https://m.media-amazon.com/images/I/71UBG06NKFL._AC_SL500_.jpg,OXO Good Grips Swivel Peeler,amazon,
instant-pot-duo-plus-mini-3qt-walmart,Instant Pot Duo Plus Mini 3-Quart 9-in-1,home,appliances,Small pressure cooker for 1–2 people—saves counter space vs 6-qt models.,Walmart,https://www.walmart.com/ip/Instant-Pot-Duo-Plus-3-Quart-Mini-9-in-1-Multi-Use-Pressure-Cooker/677032758,,79.96,price check only — no verified discount,false,,under_100,Above $50 kitchen guide ceiling—include as Home Savings appliance seed. Follow pressure-cooker safety. Confirm current Walmart price.,,impact,Walmart Instant Pot Duo Plus Mini 3qt product image.,,,,
dewalt-tough-tape-25ft-homedepot,DEWALT Tough Tape 25 ft. Tape Measure,home,hand-tools,Wide Tough Tape option from Home Depot if you prefer DeWalt over Stanley FatMax.,Home Depot,https://www.homedepot.com/p/DEWALT-Tough-Tape-25-ft-x-1-1-4-in-Tape-Measure-DWHT36925S/316481763,,,price check only — no verified discount (live price not captured this pass),false,,under_50,Re-check Home Depot price. Local store prices may vary.,,impact,Home Depot DeWalt Tough Tape PDP image.,https://images.thdstatic.com/productImages/bda3cdea-0d21-49a2-8b01-40e720988513/svn/dewalt-tape-measures-dwht36925s-64_600.jpg,DEWALT Tough Tape 25 ft. Tape Measure,homedepot,
threshold-bath-towel-value-pending-target,Threshold Bath Towel (value pick — lock SKU),everyday,bath,Target Threshold towels often land under $25—confirm GSM/feel in-store when possible.,Target,https://www.target.com/c/towels-bath-home-decor/threshold/-/N-5xtv9Z56dig,,,price check only — no verified discount (category page; specific SKU pending),false,,under_25,Lock a specific towel SKU and price. Watch for fiber blend and size.,,impact,Threshold towel product photo for chosen color/size.,,,,
room-essentials-6pc-dorm-towel-set-target,Room Essentials 6pc Everyday Striped Dorm Towel Set,everyday,bath,Budget towel set for dorms/guests—expect thinner fabric than premium Threshold.,Target,https://www.target.com/p/6pc-everyday-striped-dorm-towel-set-blue-white-room-essentials-8482/-/A-94908264,,,price check only — no verified discount,false,,under_50,Re-check Target price and set contents (bath/hand/washcloth mix).,,impact,Target Room Essentials 6pc towel set PDP.,https://target.scene7.com/is/image/Target/GUEST_8a88867b-7995-4f72-a4ed-4e25d73f08c7?wid=600&hei=600&qlt=85,Room Essentials 6pc Everyday Striped Dorm Towel Set,target,
